shelf_id,spine_idx,bbox,det_score,ocr_title,ocr_author,ocr_publisher,ocr_readable,ocr_confidence,match_title,match_authors,match_publisher,match_publishedDate,match_categories,match_isbn,match_volumeId,match_thumbnail,match_score,clip_sim,author_overlap,review_flag
84450a15f6,10,"(73.49286651611328, 93.5020751953125, 104.0654067993164, 268.5361633300781)",0.9961200952529907,The Fault in Our Stars,John Green,Simon & Schuster,False,high,The Fault in Our Stars,['John Green'],Penguin Books,2014-04-08,['Juvenile Fiction'],9780142424179,QiLaCwAAQBAJ,http://books.google.com/books/content?id=QiLaCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.1682397615814208,0.9999997615814209,1.0,ambiguous
84450a15f6,11,"(592.272216796875, 432.6332092285156, 625.9596557617188, 616.2028198242188)",0.9955714344978333,The Siren Queen,Levenslie Daughter,Siren Publishing,False,medium,Daughter of the Siren Queen,['Tricia Levenseller'],Pushkin Press,2022-11-24,['Young Adult Fiction'],9781782693710,Vn9qEAAAQBAJ,http://books.google.com/books/content?id=Vn9qEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.8624859008979797,0.8429659008979797,0.0,ambiguous
84450a15f6,12,"(432.0367736816406, 441.8162536621094, 471.63677978515625, 606.7030029296875)",0.9948222637176514,Legendborn,Deonn,Del Rey,False,high,Legendborn,['Tracy Deonn'],Simon & Schuster Children's UK,2025-03-13,['Young Adult Fiction'],9781398543805,WALW0AEACAAJ,,0.869823248386383,0.7748232483863831,0.5,ambiguous
84450a15f6,13,"(345.2035827636719, 434.2455749511719, 376.1230163574219, 610.2513427734375)",0.994293749332428,The Wicked King,Katie Fforde,A & B,False,medium,The Wicked King: And Other Stories,['Pj Author Jr'],Independently Published,2019-01-21,['Fiction'],9781794551152,ztNuwQEACAAJ,http://books.google.com/books/content?id=ztNuwQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.8369017358207702,0.8178617358207703,0.0,ambiguous
84450a15f6,14,"(228.0694580078125, 99.395751953125, 260.7837829589844, 269.15594482421875)",0.9936915636062622,Painter,Beating on You,Collins,False,medium,The Painter in Oil,['Daniel Burleigh Parkhurst'],E-Kitap Projesi & Cheapest Books,2024-11-23,['Art'],9786155565793,E3wyEQAAQBAJ,http://books.google.com/books/content?id=E3wyEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.6934906223678589,0.6736506223678589,0.0,ok
84450a15f6,15,"(128.88035583496094, 79.70060729980469, 173.1374969482422, 264.4905090332031)",0.9936047196388245,Happy Place,Emily Henry,Simon & Schuster,False,high,Happy Place,['Emily Henry'],Penguin,2024-03-05,['Fiction'],9780593441190,EObnEAAAQBAJ,http://books.google.com/books/content?id=EObnEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.1698398807907104,0.9999998807907104,1.0,ambiguous
84450a15f6,16,"(558.6835327148438, 436.6193542480469, 593.8258666992188, 608.6168823242188)",0.9929001331329346,Daughter of the Pirate King,Kevinseller,Candlewick Press,False,medium,Daughter of the Pirate King,['Tricia Levenseller'],Feiwel & Friends,2017-02-28,['Young Adult Fiction'],9781250095978,z1q7DAAAQBAJ,http://books.google.com/books/content?id=z1q7DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.9107935120773315,0.8920735120773315,0.0,ok
84450a15f6,17,"(515.8712768554688, 441.0372619628906, 552.1181030273438, 606.7225952148438)",0.9928078651428223,On the Lives of Puppets,T.J. O'Brien,Greenwillow Books,False,high,The Art of the Puppet,['Bil Baird'],New York : Macmillan,1965,['Juvenile Nonfiction'],,bZRZAAAAMAAJ,http://books.google.com/books/content?id=bZRZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.7998927859306335,0.7894927859306335,0.0,ok
84450a15f6,18,"(209.4639129638672, 407.9644775390625, 241.2548828125, 613.6232299804688)",0.9925481677055359,The Atlas Six,Olivie Blake,TFP,False,high,The Atlas Six,['Olivie Blake'],S. Fischer Verlag,2022-09-01,['Fiction'],9783104916101,CcViEAAAQBAJ,http://books.google.com/books/content?id=CcViEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.1695199403953551,0.9999999403953552,1.0,ambiguous
84450a15f6,19,"(247.4476318359375, 413.9154968261719, 281.7785949707031, 613.7157592773438)",0.9923823475837708,The Atlas Paradox,Olivie Blake,FSG,False,high,The Atlas Paradox,['Olivie Blake'],S. Fischer Verlag,2023-04-01,['Fiction'],9783104916118,cWZ1EAAAQBAJ,http://books.google.com/books/content?id=cWZ1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.1696801192092894,1.0000001192092896,1.0,ambiguous
84450a15f6,20,"(366.0047912597656, 98.11820983886719, 407.49127197265625, 271.0234680175781)",0.9921048879623413,By a Thread of Lucy Score,Lucy Score,B,False,medium,,[],,,[],,,,0.0,0.0,0.0,low_confidence
84450a15f6,21,"(175.2814178466797, 93.99138641357422, 205.833984375, 269.4227600097656)",0.9906308054924011,Better Than the Movies,PAINTER,Random House,False,medium,Better than the movies,['Lynn Painter'],,2025-02-19,[],9782487412163,KXEb0QEACAAJ,,0.9581606101989746,0.8631606101989746,0.5,ambiguous
84450a15f6,22,"(403.9283752441406, 327.49957275390625, 633.0200805664062, 371.401611328125)",0.9896395206451416,Powerless,Robert Kirkman,Image Comics,False,high,Powerless,['Matthew Cody'],Knopf Books for Young Readers,2009-10-27,['Juvenile Fiction'],9780375893537,-zFYTdWuqb4C,http://books.google.com/books/content?id=-zFYTdWuqb4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.7794898538017273,0.7620498538017273,0.0,ambiguous
84450a15f6,23,"(329.47491455078125, 93.03710174560547, 365.7594299316406, 270.07135009765625)",0.9889963865280151,Immortality: A Love Story,Dana Schorr,W,False,medium,Immortality: A Love Story,['Dana Schwartz'],Hachette UK,2023-02-28,['Young Adult Fiction'],9780349433387,4ZNtEAAAQBAJ,http://books.google.com/books/content?id=4ZNtEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.9062996155548096,0.8366196155548096,0.3333333333333333,ambiguous
84450a15f6,24,"(406.08447265625, 366.3797302246094, 628.1630859375, 408.9652404785156)",0.9886786341667175,A Court of Mist and Fury,Sarah J. Maas,,False,high,A Court of Mist and Fury,['Sarah J. Maas'],Bloomsbury Publishing,2020-10-01,['Fiction'],9781526634252,ZMwAEAAAQBAJ,http://books.google.com/books/content?id=ZMwAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.1692,1.0,1.0,ambiguous
84450a15f6,25,"(0.0, 411.7889709472656, 202.4810028076172, 453.2748107910156)",0.9843781590461731,Ninth House,,,False,high,Ninth House,['Leigh Bardugo'],Flatiron Books,2019-10-08,['Fiction'],9781250313089,6dt_DwAAQBAJ,http://books.google.com/books/content?id=6dt_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.8936354632759094,0.8745954632759094,0.0,ok
84450a15f6,26,"(411.8330993652344, 215.92539978027344, 640.0, 257.103271484375)",0.9818638563156128,The First to Die at the End,Silvera,Harlequin,False,medium,The First to Die at the End,['Adam Silvera'],Quill Tree Books,2022-10-04,[],9780063286498,lL4LzwEACAAJ,http://books.google.com/books/content?id=lL4LzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.9494704876136779,0.854950487613678,0.5,ok
84450a15f6,27,"(15.526110649108887, 473.511474609375, 189.93992614746094, 508.44195556640625)",0.9803764820098877,Ruin and Rising,Tara,Publisher Name,False,medium,Ruin and Rising,['Leigh Bardugo'],,2015-08-18,['Juvenile Fiction'],9781250063168,Sno2DwAAQBAJ,http://books.google.com/books/content?id=Sno2DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.7213711008071899,0.7029711008071899,0.0,ambiguous
84450a15f6,28,"(104.8288803100586, 91.14662170410156, 135.6221160888672, 268.77593994140625)",0.979725182056427,People We Meet on Vacation,Emily Henry,William Morrow,False,high,People we meet on vacation,['Emily Henry'],,2024-06-05,[],9782381227047,iCK_0AEACAAJ,,1.1698398807907104,0.9999998807907104,1.0,ambiguous
84450a15f6,29,"(11.396173477172852, 440.5074157714844, 193.3014373779297, 478.1141662597656)",0.9748884439468384,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,30,"(457.8835144042969, 183.291015625, 628.9615478515625, 204.55345153808594)",0.9725068807601929,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,31,"(460.12652587890625, 166.50674438476562, 628.0015258789062, 185.52256774902344)",0.9575590491294861,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,32,"(13.289276123046875, 498.69879150390625, 189.1724853515625, 539.3252563476562)",0.9540789127349854,Siege and Storm,George R. R. Martin,Del Rey,False,high,Siege and Storm: Chapters 1-5,['Leigh Bardugo'],Henry Holt and Company (BYR),2013-04-09,['Young Adult Fiction'],9781466842960,0bViWikBlIoC,http://books.google.com/books/content?id=0bViWikBlIoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.789721194820404,0.771641194820404,0.0,ok
84450a15f6,33,"(0.0, 386.08013916015625, 205.80322265625, 487.251708984375)",0.9382690191268921,Ninth House,Holly Black,Ninth House,False,high,Ninth House,['Leigh Bardugo'],Flatiron Books,2019-10-08,['Fiction'],9781250313089,6dt_DwAAQBAJ,http://books.google.com/books/content?id=6dt_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.8258348818206787,0.8067948818206787,0.0,ok
84450a15f6,34,"(6.701306343078613, 575.8031616210938, 179.88706970214844, 615.8937377929688)",0.9203572273254395,The Open Blighted Home,J.R.R. Tolkien,J.R.R. Tolkien,False,medium,The Hobbit,['J. R. R. Tolkien'],HarperCollins UK,2008,['Comics & Graphic Novels'],9780007270613,F2xu1nZOzKoC,http://books.google.com/books/content?id=F2xu1nZOzKoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.9690045531082153,0.8017245531082153,1.0,ambiguous
84450a15f6,35,"(11.428393363952637, 91.0326156616211, 108.81855773925781, 267.86431884765625)",0.9068122506141663,She Gets the Girl,Emily Man,Simon & Schuster,False,medium,She Gets the Girl,"['Rachael Lippincott', 'Alyson Derrick']",Deutscher Taschenbuch Verlag,2023-06-15,['Juvenile Fiction'],9783423442473,WGyqEAAAQBAJ,http://books.google.com/books/content?id=WGyqEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.7005431420135498,0.6808631420135498,0.0,ambiguous
84450a15f6,36,"(413.40948486328125, 397.932373046875, 628.08544921875, 431.37652587890625)",0.9048281908035278,A Court of Thorns and Roses,J. Maas,,False,high,A Court of Thorns and Roses,['Sarah J. Maas'],Bloomsbury Publishing,2025-10-23,['Fiction'],9781526694065,FEka0QEACAAJ,http://books.google.com/books/content?id=FEka0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0938206863403321,0.973820686340332,0.6666666666666666,ambiguous
84450a15f6,37,"(400.9570007324219, 323.60284423828125, 637.0806274414062, 428.5910339355469)",0.9043161273002625,A Court of Thorns and Roses,Sarah J. Maas,Scholastic,False,medium,A Court of Thorns and Roses,['Sarah J. Maas'],Bloomsbury Publishing,2025-10-23,['Fiction'],9781526694065,FEka0QEACAAJ,http://books.google.com/books/content?id=FEka0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.1699998807907104,0.9999998807907104,1.0,ambiguous
84450a15f6,38,"(467.60107421875, 200.20486450195312, 624.4352416992188, 222.49192810058594)",0.8905155062675476,Holidays and a Wedding,Ursula K. Le Guin,Marissa Stegley,False,high,Gifts,['Ursula K. Le Guin'],Houghton Mifflin Harcourt,2004,['Juvenile Fiction'],9780152051235,UY7bjfq3mYkC,http://books.google.com/books/content?id=UY7bjfq3mYkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0356000825309752,0.8689600825309753,1.0,ok
84450a15f6,39,"(8.75433349609375, 359.5522766113281, 204.0055389404297, 398.3925476074219)",0.8887262344360352,Starless Sea,Erin Morgenstern,Holly Black,False,high,The Starless Sea,['Erin Morgenstern'],Arrow,2020-08-06,['Fiction'],9781784702861,ADbRywEACAAJ,http://books.google.com/books/content?id=ADbRywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.1405225960731507,0.9713225960731506,1.0,ambiguous
84450a15f6,40,"(11.652587890625, 528.0692749023438, 195.14712524414062, 567.5087890625)",0.8771447539329529,Shadow and Bone,Libba Bray,Simon & Schuster,False,medium,Shadow and Bone,['Leigh Bardugo'],,2021-04-09,[],9782408024512,sFBwzgEACAAJ,,0.941090637550354,0.921730637550354,0.0,ambiguous
84450a15f6,41,"(419.040283203125, 254.7790985107422, 618.445556640625, 291.61865234375)",0.8672029972076416,They Both Die at the End,Silvia,Random House,False,medium,"Edward Albee's The Goat, Or, Who is Sylvia?",['Edward Albee'],"Dramatists Play Service, Inc.",2003,['Drama'],9780822219767,biyQZKztYaYC,http://books.google.com/books/content?id=biyQZKztYaYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.4657736134338379,0.4492936134338379,0.0,ambiguous
84450a15f6,42,"(0.0, 554.2673950195312, 189.4005584716797, 594.4306640625)",0.8660444617271423,Lightmark,,,False,high,,[],,,[],,,,0.0,0.0,0.0,low_confidence
84450a15f6,43,"(0.0, 445.3359069824219, 203.22642517089844, 543.2552490234375)",0.8647146224975586,Ruin and Rising,Ron Robie,Ninety House,False,medium,Ruin and Rising,['Leigh Bardugo'],,2015-08-18,['Juvenile Fiction'],9781250063168,Sno2DwAAQBAJ,http://books.google.com/books/content?id=Sno2DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.8303210004806518,0.8119210004806519,0.0,ambiguous
84450a15f6,44,"(408.7746276855469, 290.34088134765625, 626.3529663085938, 327.6480407714844)",0.8605993390083313,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,45,"(412.8334045410156, 183.7484893798828, 640.0, 273.79132080078125)",0.8382200002670288,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,46,"(518.802978515625, 443.3326110839844, 633.4821166992188, 611.9298095703125)",0.8334040641784668,The Daughter of the Siren Queen,Levene Lee,Yoon,False,high,Daughter of the Siren Queen,['Tricia Levenseller'],Pushkin Press,2022-11-24,['Young Adult Fiction'],9781782693710,Vn9qEAAAQBAJ,http://books.google.com/books/content?id=Vn9qEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.9061557207298279,0.8866357207298279,0.0,ambiguous
84450a15f6,47,"(405.15704345703125, 135.95401000976562, 640.0, 225.4739227294922)",0.8060486316680908,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,48,"(408.2718811035156, 135.12356567382812, 639.0587768554688, 179.458984375)",0.7945080995559692,First Down,Grace Reilly,Taylor Publishing,False,high,First Down,['Grace Reilly'],Avon Books,2024-02-20,['Fiction'],9780063384118,b8Qm0AEACAAJ,http://books.google.com/books/content?id=b8Qm0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.16984,1.0,1.0,ambiguous
84450a15f6,49,"(1.679229736328125, 498.5978088378906, 186.3650360107422, 621.6367797851562)",0.7871793508529663,The Children of Blood and Bone,Cressida Cowell,Simon & Schuster,False,high,Children of blood and bone,['Tomi Adeyemi'],,2019,[],,Y4QoyAEACAAJ,,0.814426254787445,0.7953862547874451,0.0,ambiguous
84450a15f6,50,"(0.0, 378.8987731933594, 206.83506774902344, 418.08544921875)",0.7692476511001587,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,51,"(434.9205017089844, 260.0689392089844, 621.560546875, 280.2220153808594)",0.7563778162002563,They Both Die at the End,Silvia,"Farrar, Straus and Giroux",False,medium,"Edward Albee's The Goat, Or, Who is Sylvia?",['Edward Albee'],"Dramatists Play Service, Inc.",2003,['Drama'],9780822219767,biyQZKztYaYC,http://books.google.com/books/content?id=biyQZKztYaYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.4657736134338379,0.4492936134338379,0.0,ambiguous
84450a15f6,52,"(406.00445556640625, 179.33456420898438, 640.0, 221.6420135498047)",0.7234840393066406,Three Holidays and a Wedding,Marissa Stegley,Random House,False,medium,Three Holidays and a Wedding,"['Uzma Jalaluddin', 'Marissa Stapley']",Penguin,2023-10-03,['Fiction'],9780735246454,K0elEAAAQBAJ,http://books.google.com/books/content?id=K0elEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.887705987148285,0.8380259871482849,0.2,ok
84450a15f6,53,"(452.5131530761719, 207.1500244140625, 634.274658203125, 216.8355255126953)",0.6525201201438904,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,54,"(412.0567932128906, 236.1527862548828, 637.8150024414062, 328.3398132324219)",0.6205522418022156,,,,False,medium,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,55,"(5.856658935546875, 351.771240234375, 207.9412841796875, 443.40216064453125)",0.6017379760742188,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
84450a15f6,56,"(444.3012390136719, 173.7285614013672, 628.9826049804688, 183.3265838623047)",0.5367277264595032,,,,False,high,,[],,,[],,,,0.0,0.0,0.0,unreadable
